"path","bytes"
"review_artifact/tables/table_06b_conformal_prediction.csv","6360"
"review_artifact/tables/table_06b_conformal_prediction.tex","8161"
"review_artifact/tables/table_07_noise_censoring_sensitivity.csv","11097"
"review_artifact/tables/table_07_noise_censoring_sensitivity.tex","13587"
"review_artifact/tables/table_08_non_neural_baselines.csv","7802"
"review_artifact/tables/table_08_non_neural_baselines.tex","9558"
"review_artifact/tables/table_09a_moleculeace_external.csv","1844"
"review_artifact/tables/table_09a_moleculeace_external.tex","2807"
"review_artifact/tables/table_09b_mtpnet_controls.csv","2517"
"review_artifact/tables/table_09b_mtpnet_controls.tex","3426"
"review_artifact/tables/table_10a_acnet_neural_controls.csv","2178"
"review_artifact/tables/table_10a_acnet_neural_controls.tex","3089"
"review_artifact/tables/table_10b_target_assay_pretraining_controls.csv","911"
"review_artifact/tables/table_10b_target_assay_pretraining_controls.tex","1505"
"review_artifact/tables/table_10c_few_pretrained_representations.csv","9595"
"review_artifact/tables/table_10c_few_pretrained_representations.tex","12187"
"review_artifact/tables/table_11_statistical_effects.csv","28273"
"review_artifact/tables/table_11_statistical_effects.tex","41478"
"review_artifact/tables/table_12_runtime_scalability.csv","883"
"review_artifact/tables/table_12_runtime_scalability.tex","1911"
"review_artifact/tables/table_13_target_failure_taxonomy.csv","847929"
"review_artifact/tables/table_13_target_failure_taxonomy.tex","1243818"
"review_artifact/tables/table_14a_p0_p1_calibration_bins.csv","222783"
"review_artifact/tables/table_14a_p0_p1_calibration_bins.tex","317695"
"review_artifact/tables/table_14b_p0_p1_risk_coverage.csv","143446"
"review_artifact/tables/table_14b_p0_p1_risk_coverage.tex","196422"
"review_artifact/tables/table_15_experiment_completion_matrix.csv","2899"
"review_artifact/tables/table_15_experiment_completion_matrix.tex","3284"
"review_artifact/tables/table_16_official_datasail_exact_split.csv","1162"
"review_artifact/tables/table_16_official_datasail_exact_split.tex","1834"
"review_artifact/tables/table_17_official_datasail_multicluster_sensitivity.csv","2091"
"review_artifact/tables/table_17_official_datasail_multicluster_sensitivity.tex","3176"
"review_artifact/tables/table_18_biological_unit_bootstrap.csv","1703"
"review_artifact/tables/table_19_target_cluster_membership.csv","1381"
"review_artifact/tables/table_20_target_level_distribution.csv","2318"
"review_artifact/tables/table_21_target_distribution_summary.csv","871"
"review_artifact/tables/tables_index.csv","9825"
"review_artifact/tables/tables_index.md","3256"
"review_artifact/toolkit/generated/contract_audit_summary.json","373"
"review_artifact/toolkit/generated/contract_leaderboard_deltas.csv","12092"
"review_artifact/toolkit/pc_cfrl_bench_schema.json","1598"
"review_artifact/toolkit/README.md","1782"
"review_artifact/toolkit/run_contract_audit.py","5073"
"scripts/build_tkde_experiment_tables.py","27215"
"scripts/draw_fig1_sfig7_sfig8.py","14861"
"scripts/draw_fig2_4.py","27695"
"scripts/draw_fig5_7.py","24541"
"scripts/draw_sfig1_6.py","32866"
"scripts/draw_sfig9_fewshot_label_efficiency.py","4947"
"scripts/export_target_cluster_membership.py","3707"
"scripts/export_tkde_leaderboard_package.py","3803"
"scripts/freeze_tkde_benchmark_splits.py","17911"
"scripts/plot_rich_pair_journal_figures.py","7087"
"scripts/qa_submission.py","6193"
"scripts/run_bindingdb_raw_source_pairs.py","22212"
"scripts/run_chembl_raw_source_temporal_pairs.py","40948"
"scripts/run_internal_graph_cliff_baseline.py","18502"
"scripts/run_moleculeace_baselines.py","7680"
"scripts/run_moleculeace_target_family_pairs.py","25317"
"scripts/run_official_datasail_exact_split.py","15541"
"scripts/run_target_unit_bootstrap.py","10352"
"scripts/run_tkde_experiments_5_7.py","37423"
"scripts/run_tkde_fewshot_fairness_active_baselines.py","25230"
"scripts/run_tkde_fewshot_target_adaptation.py","9326"
"scripts/run_tkde_lohi_leakage_splits.py","10678"
"scripts/run_tkde_non_neural_baselines.py","13197"
"scripts/run_tkde_raw_reliability.py","13070"
"scripts/run_tkde_statistical_effects.py","5677"
"scripts/run_tkde_unified_baseline_matrix.py","11753"
"scripts/summarize_jsonl.py","1323"
"scripts/tkde_benchmark_evaluator.py","4319"
"scripts/update_official_datasail_tables.py","10190"
"SOFTWARE_ENVIRONMENT.csv","304"
"SOURCE_SNAPSHOT_MANIFEST.csv","1500"
"src/pccfrl/__init__.py","37"
"src/pccfrl/fingerprints.py","1745"
"src/pccfrl/metrics.py","3991"
