benchmark,source,condition,split_mode,baseline_variant,candidate_variant,baseline_roc_auc,candidate_roc_auc,delta_roc_auc,baseline_pr_auc,candidate_pr_auc,delta_pr_auc,baseline_mcc,candidate_mcc,delta_mcc,n_train_mean,n_test_mean,target_overlap_rate_mean,exact_ligand_overlap_rate_mean,scaffold_overlap_rate_mean,document_source_overlap_rate_mean
LoHi raw,bindingdb_raw,default,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.517696826919254,0.5539802540560459,0.0362834271,0.3271680677499714,0.3602838178324292,0.0331157501,0.0308271097322822,0.0738054955273058,0.0429783858,3198.333333333333,4496.8,0.9796161204954028,0.0,0.0,0.0
LoHi raw,chembl_raw,default,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5312668952485817,0.5452873238673952,0.0140204286,0.4102286380585586,0.4371418920375726,0.026913254,0.0349133233223004,0.0700262101890983,0.0351128869,2483.266666666667,3239.733333333333,0.9892462686898292,0.0,0.0,0.0
LoHi raw,chembl_raw,default,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5471155904547101,0.5427887452619172,-0.0043268452,0.4232774187017982,0.4327700195081574,0.0094926008,0.0546930855200672,0.0483985364004572,-0.0062945491,2151.333333333333,2377.0,0.9842924036083908,0.0,0.0,0.0
MoleculeACE,MoleculeACE,default,family_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5589712262627987,0.5887618503388959,0.0297906241,0.4216949372380967,0.4485940120464922,0.0268990748,0.0814337042217194,0.1206834000986117,0.0392496959,61901.0,15949.8,0.0,0.0,0.0,
MoleculeACE,MoleculeACE,default,target_family,ecfp_absdiff_xgb,rich_diff_scalars,0.562812835184419,0.5941158850578867,0.0313030499,0.425627807243882,0.4537026365264854,0.0280748293,0.0898259099722014,0.1295605519427425,0.039734642,63799.2,15949.8,0.0,0.0833494877899233,0.1212616270445446,
Noise raw,bindingdb_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5130303138751297,0.5726673535113893,0.0596370396,0.3339084509712709,0.3847185912477754,0.0508101403,0.0273277964403516,0.0977772136560966,0.0704494172,16973.0,4496.8,0.0,0.0,0.0,0.0
Noise raw,bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5068615554997183,0.5593485688102037,0.0524870133,0.3578942667212729,0.4168375625807432,0.0589432959,0.0230980451578005,0.0834494221312656,0.060351377,10896.0,2875.6,0.0,0.0,0.0,0.0
Noise raw,bindingdb_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5156419729413069,0.566847798685514,0.0512058257,0.318794599067368,0.3617890164209998,0.0429944174,0.0476885707353004,0.0885821504180456,0.0408935797,12760.4,3404.4,0.0,0.0,0.0,0.0
Noise raw,bindingdb_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5228897826059529,0.5236705460810891,0.0007807635,0.2850403658985489,0.2957878213814012,0.0107474555,0.0260534622238439,0.0260227050028192,-3.07572e-05,4393.8,1165.6,0.0,0.0,0.0,0.0
Noise raw,bindingdb_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.517541553881848,0.5332672645486264,0.0157257107,0.3546843784163626,0.3730124526524761,0.0183280742,0.0129938888539255,0.0177483334480929,0.0047544446,4793.0,1223.0,0.0,0.0,0.0,0.0
Noise raw,chembl_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5324695920811499,0.5707218024017477,0.0382522103,0.4133679599407969,0.4559454443731329,0.0425774844,0.0424568629911242,0.1138818062413721,0.0714249433,9088.8,2377.0,0.0,0.0,0.0,0.0
Noise raw,chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5260257393809199,0.6011573989692154,0.0751316596,0.4113839894188712,0.4803701600147146,0.0689861706,0.0750483856909633,0.1508693223622608,0.0758209367,7829.6,2041.4,0.0,0.0,0.0,0.0
Noise raw,chembl_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5314528629286287,0.5666195816000582,0.0351667187,0.4118281281517727,0.4683714477256331,0.0565433196,0.0392391815291998,0.0915655442973282,0.0523263628,6838.0,1778.8,0.0,0.0,0.0,0.0
Noise raw,chembl_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5334872867562589,0.5587404798968324,0.0252531931,0.3679138476852973,0.4217010098191748,0.0537871621,-0.0106891567574283,0.1119569865419806,0.1226461433,2712.6,706.2,0.0,0.0,0.0,0.0
Noise raw,chembl_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5236184447649102,0.5942676406789821,0.0706491959,0.5915119196264389,0.6512487174467352,0.0597367978,-0.0036311491499535,0.1350574790891413,0.1386886282,1610.8,411.6,0.0,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_exact_ligand_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5532296728670385,0.6290162654623138,0.0757865926,0.4267018580547453,0.5069837592637872,0.0802819012,0.0607835054007928,0.1758351456720615,0.1150516403,19845.0,11885.0,1.0,0.0,0.4925536390408077,0.0
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_matched_targets,ecfp_absdiff_xgb,rich_diff_scalars,0.5840043630621751,0.661050603564876,0.0770462405,0.4473931334673773,0.5317647626688827,0.0843716292,0.1156513823798056,0.215983676624973,0.1003322942,22484.0,11885.0,1.0,0.351283129995793,0.745561632309634,0.0
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_pair_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5582842713074125,0.6405387716287398,0.0822545003,0.4273248326997099,0.5080199424273972,0.0806951097,0.0662947424095996,0.1956347762850858,0.1293400339,19307.0,11885.0,1.0,0.1119899032393773,0.4029448885149349,0.0
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5408883017122242,0.623327656171064,0.0824393545,0.4174021787493063,0.4983744660553991,0.0809722873,0.0476586207614318,0.1745110658823069,0.1268524451,18079.0,11885.0,1.0,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2005_future_only,ecfp_absdiff_xgb,rich_diff_scalars,0.519614184378316,0.6303901339928893,0.1107759496,0.3000582949757275,0.4223051209180806,0.1222468259,0.0474594605912485,0.1605100631752255,0.1130506026,6975.0,4503.0,0.620253164556962,0.0448589829002886,0.09526982011992,0.0510770597379524
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2005_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.508848429599793,0.6381341362023769,0.1292857066,0.2987552451181383,0.3890753143432028,0.0903200692,-0.0266867643948362,0.1375103215606302,0.164197086,5561.0,4503.0,0.52187430601821,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2010_future_only,ecfp_absdiff_xgb,rich_diff_scalars,0.4973421546084147,0.6114291629027401,0.1140870083,0.2847358506922249,0.3469075416495861,0.062171691,0.0238299087406319,0.1070767914214934,0.0832468827,9244.0,2234.0,0.3137869292748433,0.0170098478066248,0.0425246195165622,0.0282005371530886
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2010_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.4862632079603624,0.5955702006515015,0.1093069927,0.2825320735962784,0.340865273784615,0.0583332002,-0.0020157784070756,0.1045297620526305,0.1065455405,8891.0,2234.0,0.3137869292748433,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2015_future_only,ecfp_absdiff_xgb,rich_diff_scalars,0.553131571360738,0.6516956230497897,0.0985640517,0.2640608998201408,0.3020582188924925,0.0379973191,0.0103780865896046,0.2277336365557312,0.21735555,10374.0,1104.0,1.0,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_future_after_2015_scaffold_source_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.553131571360738,0.6516956230497897,0.0985640517,0.2640608998201408,0.3020582188924925,0.0379973191,0.0103780865896046,0.2277336365557312,0.21735555,10374.0,1104.0,1.0,0.0,0.0,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5416764726215898,0.5925562672534496,0.0508797946,0.3454014130184375,0.3954810870914562,0.0500796741,0.0429840784340201,0.1062440199828629,0.0632599415,7710.0,22484.0,1.0,0.0,0.1443693293008361,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,rich_diff_scalars,0.5502523316238546,0.6049472179176028,0.0546948863,0.3570091703189175,0.4063797236359918,0.0493705533,0.0535164328710173,0.1374941490778772,0.0839777162,11885.0,22484.0,1.0,0.1173723536737235,0.1959170966020281,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5321714560588672,0.5846799073716583,0.0525084513,0.3384963308952464,0.3896872166737899,0.0511908858,0.0409101015022675,0.1031094233194821,0.0621993218,5933.0,22484.0,1.0,0.0632449742038783,0.1437021882227361,0.0
Remaining P0-P1,Remaining P0-P1,default,chembl_to_bindingdb_scaffold_purged,ecfp_absdiff_xgb,rich_diff_scalars,0.5255826458213141,0.58455316007412,0.0589705143,0.3260242283682817,0.3887309327465912,0.0627067044,0.039782463214283,0.1151595162129685,0.075377053,3024.0,22484.0,1.0,0.0,0.0,0.0
