"source","split","representation","runs","roc_auc_mean","roc_auc_std","pr_auc_mean","pr_auc_std","mcc_mean","mcc_std","n_train_mean","n_test_mean","train_retention_mean"
"BindingDB","target-cluster","ECFP-XGB","25","0.5184047457316213","0.016628880791214454","0.3408757477987916","0.08118285641738052","0.03497007240616298","0.03110047882820555","17987.2","4496.8","1.0"
"BindingDB","target-cluster","ExtraTrees-scalars","25","0.6074359981670174","0.028891345081111866","0.4127702705901637","0.06784181685433381","0.12322226475451796","0.027900847981131988","17987.2","4496.8","1.0"
"BindingDB","target-cluster","MolFormer-sym-XGB","25","0.5406808125928833","0.06152895048393007","0.359709835407537","0.08615204115217054","0.046839892588276394","0.09009906212343023","17987.2","4496.8","1.0"
"BindingDB","target-cluster","PC-CFRL-scalar","25","0.5836057899707022","0.016328596814074635","0.40551790510752816","0.07481364067784857","0.10639362752908106","0.026407522272420374","17987.2","4496.8","1.0"
"BindingDB","target-cluster","PC-CFRL-full","25","0.5810064819662883","0.01725603659897808","0.3981613691800405","0.07499920879607615","0.10194277861855865","0.02564728079731529","17987.2","4496.8","1.0"
"BindingDB","target-cluster","RF-scalars","25","0.6080001404085583","0.029885600629800054","0.4198379002153686","0.07258399413197186","0.12200225545183942","0.02829114491849976","17987.2","4496.8","1.0"
"ChEMBL","target-cluster+scaffold+source","ChemBERTa-sym-XGB","25","0.5565351926971216","0.04161222256184839","0.44437384134074287","0.10517079664442831","0.07425221951107762","0.06715036367014206","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","ECFP-XGB","25","0.5459703761006578","0.02246180348911847","0.4233261050149772","0.06915785575590588","0.05701359037685108","0.033539538119793766","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","ExtraTrees-scalars","25","0.5914028780849765","0.03922142040335205","0.4693917278616104","0.05731546154540551","0.11538650316842954","0.04909136468659819","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","MolFormer-sym-XGB","25","0.5598753314669266","0.0497334644870176","0.45445665206183017","0.09427450190486682","0.07639308791068007","0.08366576564351534","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","PC-CFRL-scalar","25","0.5901850607548087","0.053673654186239254","0.46818287572770295","0.05760380746022001","0.13972448502138718","0.07273395747355271","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","PC-CFRL-full","25","0.5870698241809641","0.04372330756448546","0.46208626663380775","0.05514960000406702","0.12705635594432782","0.06623709699140107","9088.8","2377.0","0.9561438126351676"
"ChEMBL","target-cluster+scaffold+source","RF-scalars","25","0.5883771137374508","0.046657993719757436","0.46114043231270246","0.05855556481013045","0.09559403045553908","0.055544548970143694","9088.8","2377.0","0.9561438126351676"
"ChEMBL","random","ChemBERTa-sym-XGB","25","0.7996649722023751","0.009347036420378905","0.690934255569969","0.01194229031844086","0.42971201053051644","0.02186019864790974","9508.0","2377.0","1.0"
"ChEMBL","random","ECFP-XGB","25","0.7156366586073567","0.008952019007354334","0.6040991898609681","0.010266967516521553","0.2799564559496401","0.01704659743299341","9508.0","2377.0","1.0"
"ChEMBL","random","ExtraTrees-scalars","25","0.8359895085166249","0.006670416677249814","0.7400256843569113","0.012107249618298647","0.5043100602466015","0.015948833249703198","9508.0","2377.0","1.0"
"ChEMBL","random","MolFormer-sym-XGB","25","0.8077048631424242","0.008891920531826211","0.6989732672049892","0.011510436024888375","0.4488203934572476","0.021763270775836695","9508.0","2377.0","1.0"
"ChEMBL","random","PC-CFRL-scalar","25","0.755507451932861","0.01000488078538131","0.6497770769297097","0.013544997002961884","0.3638015148062378","0.019088797575620223","9508.0","2377.0","1.0"
"ChEMBL","random","PC-CFRL-full","25","0.7685865691174887","0.010991896781068078","0.6692506692309605","0.01286610388976225","0.37703073706211415","0.02079321540759112","9508.0","2377.0","1.0"
"ChEMBL","random","RF-scalars","25","0.8357530031769232","0.006387196547899563","0.7374639232755732","0.012742027179886768","0.49244136450731657","0.018135692805965938","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","ChemBERTa-sym-XGB","25","0.5672034910151619","0.03936034904328375","0.4540376699785913","0.0968306225390185","0.08103758328914099","0.051678930591146616","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","ECFP-XGB","25","0.5550345427402342","0.016193094215320242","0.43169375077903227","0.07515016806709482","0.05405384365012291","0.036356092727252445","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","ExtraTrees-scalars","25","0.599845244488105","0.04095792450030563","0.4853634847411923","0.06565969930505368","0.12481686590570922","0.05457245394353525","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","MolFormer-sym-XGB","25","0.5759776578989663","0.04899975662678614","0.4682572303988878","0.09556233488539252","0.08736393898906047","0.06907046927034505","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","PC-CFRL-scalar","25","0.589796215066952","0.0467118089047884","0.4798986604067498","0.058697829300544235","0.13917393494155397","0.06299030163402047","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","PC-CFRL-full","25","0.5921451572705326","0.04476381846698346","0.4783732487542584","0.05531614685756005","0.13440552540658926","0.06212686286571254","9508.0","2377.0","1.0"
"ChEMBL","target-cluster","RF-scalars","25","0.59526558286585","0.04586140425757596","0.4767428805633098","0.06473809791244607","0.10137158521781205","0.057390563683340876","9508.0","2377.0","1.0"
