"source","protocol","split","representation","seed","fold","roc_auc","pr_auc","mcc","n_train","n_test","target_overlap_rate","exact_ligand_overlap_rate","scaffold_overlap_rate","document_source_overlap_rate"
"BindingDB","Audit-15","random","RF-scalars","1","4","0.8164677963604892","0.6671782003613602","0.4165355708436613","17988","4496","1.0","0.9177046263345195","0.9544039145907474","0.977535587188612"
"BindingDB","Audit-15","random","RF-scalars","2","0","0.8241901763160425","0.656289802124523","0.4227470780748552","17987","4497","1.0","0.906826773404492","0.9412941961307538","0.9737602846342006"
"BindingDB","Audit-15","random","RF-scalars","2","1","0.8156087305272546","0.6646447774330735","0.4155481461148322","17987","4497","1.0","0.9130531465421392","0.9444073826995776","0.9790971758950412"
"BindingDB","Audit-15","random","RF-scalars","2","2","0.8231443338094548","0.67355148148566","0.435294762334543","17987","4497","1.0","0.9141649988881476","0.95130086724483","0.9790971758950412"
"BindingDB","Audit-15","random","RF-scalars","2","3","0.8089625842125479","0.6572427273641175","0.4234226927886672","17987","4497","1.0","0.9101623304425172","0.948410051145208","0.9764287302646208"
"BindingDB","Audit-15","random","RF-scalars","2","4","0.8157125955797392","0.6568557294905516","0.4067650413052073","17988","4496","1.0","0.9070284697508896","0.9452846975088968","0.9770907473309608"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","0","0.5197381354091153","0.3824155069184571","0.0290812999312937","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","1","0.4963913256288543","0.2552243883355001","-0.0102950488103893","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","2","0.5519805760074729","0.4668703660572212","0.0845552271887389","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","3","0.5243894799252722","0.3510110624195063","0.0447721671297449","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","4","0.5188406109072123","0.2698996807450234","0.0312459431335797","17749","3933","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","0","0.5174268188870024","0.3831348460827122","0.0414353289501653","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","1","0.4986562150683121","0.2508115609638184","-0.0101568292534834","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","2","0.5375340241021869","0.4502759059921126","0.0853648081668463","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","3","0.5121153136221768","0.3453731172260003","0.0278992135243129","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","4","0.5194482152274758","0.2654869420393537","0.0623411962432405","17749","3933","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","0","0.515905815881007","0.3813291453175199","0.0350687419074792","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","1","0.503035206661186","0.2550570230499105","0.004079064516552","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","2","0.5351651511523","0.4580424101926243","0.0551162166050985","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","3","0.5121469563091202","0.3469668108289162","0.0239283410568368","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","4","0.5089828908848252","0.2650732471954123","0.0315398659214129","17749","3933","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","0","0","0.5680848083884511","0.4276363500874404","0.0997502538739975","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","0","1","0.5747136301626095","0.3145200974956725","0.0943289833681874","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","0","2","0.5868871035732167","0.4867722372006563","0.0615366211218508","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","0","3","0.5520667628732199","0.3849295855109005","0.0686823075639853","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","0","4","0.6443321767605559","0.3852273049612472","0.170816534801489","17749","3933","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","1","0","0.564920676431626","0.4241328812545066","0.0744998814139469","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","1","1","0.567861909087447","0.3032770933128371","0.0951411745309873","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","1","2","0.5921467756912544","0.4949066038736396","0.0646865562203719","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","1","3","0.5532682261077737","0.3879986184498103","0.0725993418919524","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","1","4","0.6511633108566263","0.4000167545542991","0.2094588352347029","17749","3933","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","2","0","0.5641645286632175","0.4215206021333911","0.0601332562186776","16554","5408","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","2","1","0.573340443810245","0.3045411046785792","0.1155487185822964","15813","6277","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","2","2","0.5852906984410697","0.4857249407456129","0.0518018710431008","18095","3108","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","2","3","0.552560101128749","0.3887281144494381","0.074975297923586","16654","3758","0.0","0.0","0.0","0.0"
"BindingDB","Audit-15","target-cluster+scaffold+source","RF-scalars","2","4","0.6457740808408046","0.3846056490255879","0.1699805605877035","17749","3933","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","random","ECFP-XGB","0","0","0.7085161971534825","0.5945030812886725","0.27250608444599","9508","2377","1.0","0.950357593605385","0.9798064787547328","0.995793016407236"
"ChEMBL","Audit-15","random","ECFP-XGB","0","1","0.7214863862204038","0.5972764260417943","0.2895599858575146","9508","2377","1.0","0.9457299116533444","0.9692890197728228","0.9953723180479596"
"ChEMBL","Audit-15","random","ECFP-XGB","0","2","0.7072311133797742","0.5995605240921135","0.2587410083269311","9508","2377","1.0","0.9490954985275556","0.9680269246949936","0.9945309213294068"
"ChEMBL","Audit-15","random","ECFP-XGB","0","3","0.7239813535911602","0.6147591504282628","0.2971552268514775","9508","2377","1.0","0.9465713083718974","0.966344131257888","0.991586032814472"
"ChEMBL","Audit-15","random","ECFP-XGB","0","4","0.7237069871486909","0.6135223374263367","0.2925220516986987","9508","2377","1.0","0.9402608329827512","0.9629785443836768","0.9903239377366428"
"ChEMBL","Audit-15","random","ECFP-XGB","1","0","0.6984162566311604","0.5853385594840633","0.2685932039238506","9508","2377","1.0","0.945309213294068","0.9709718132099284","0.9924274295330248"
"ChEMBL","Audit-15","random","ECFP-XGB","1","1","0.7413629700388707","0.6368885283496919","0.3212611731884587","9508","2377","1.0","0.958771560790913","0.9755994951619688","0.9953723180479596"
"ChEMBL","Audit-15","random","ECFP-XGB","1","2","0.7054756936103772","0.595195295258285","0.2668680534382506","9508","2377","1.0","0.9436264198569626","0.9655027345393352","0.9920067311737484"
"ChEMBL","Audit-15","random","ECFP-XGB","1","3","0.7163674033149172","0.6008902481310592","0.2611037531361289","9508","2377","1.0","0.9448885149347918","0.9650820361800588","0.9945309213294068"
"ChEMBL","Audit-15","random","ECFP-XGB","1","4","0.7208953879413884","0.6074684180662054","0.2959022921616591","9508","2377","1.0","0.9507782919646612","0.9718132099284812","0.993689524610854"
"ChEMBL","Audit-15","random","ECFP-XGB","2","0","0.7202348767490344","0.617825162828276","0.2649138022956608","9508","2377","1.0","0.945309213294068","0.972654606647034","0.9911653344551956"
"ChEMBL","Audit-15","random","ECFP-XGB","2","1","0.7160860834249531","0.6075944521018978","0.2818214178098301","9508","2377","1.0","0.9469920067311738","0.96844762305427","0.9945309213294068"
"ChEMBL","Audit-15","random","ECFP-XGB","2","2","0.7193629143646408","0.5956908643145278","0.3101773584840813","9508","2377","1.0","0.9448885149347918","0.9692890197728228","0.9941102229701304"
"ChEMBL","Audit-15","random","ECFP-XGB","2","3","0.7086614971174634","0.5969068181405489","0.2659452819478415","9508","2377","1.0","0.949516196886832","0.9709718132099284","0.995793016407236"
"ChEMBL","Audit-15","random","ECFP-XGB","2","4","0.7195021619024742","0.6051365580699051","0.282100019408504","9508","2377","1.0","0.949516196886832","0.9676062263357172","0.991586032814472"
"ChEMBL","Audit-15","random","RF-scalars","0","0","0.8377291993343307","0.7373826317994516","0.4938550270792948","9508","2377","1.0","0.950357593605385","0.9798064787547328","0.995793016407236"
"ChEMBL","Audit-15","random","RF-scalars","0","1","0.8281256571081832","0.7222538260398197","0.4723088712773543","9508","2377","1.0","0.9457299116533444","0.9692890197728228","0.9953723180479596"
"ChEMBL","Audit-15","random","RF-scalars","0","2","0.8402470423973096","0.7397433807537485","0.5103097466116016","9508","2377","1.0","0.9490954985275556","0.9680269246949936","0.9945309213294068"
"ChEMBL","Audit-15","random","RF-scalars","0","3","0.8482828639202499","0.7645348933298931","0.5164948502157828","9508","2377","1.0","0.9465713083718974","0.966344131257888","0.991586032814472"
"ChEMBL","Audit-15","random","RF-scalars","0","4","0.8427114610857555","0.7486637693527562","0.5108599808185821","9508","2377","1.0","0.9402608329827512","0.9629785443836768","0.9903239377366428"
"ChEMBL","Audit-15","random","RF-scalars","1","0","0.8267930417124765","0.7346378928860606","0.4663144767845019","9508","2377","1.0","0.945309213294068","0.9709718132099284","0.9924274295330248"
"ChEMBL","Audit-15","random","RF-scalars","1","1","0.8364975908536548","0.7339812802118025","0.5055340880202506","9508","2377","1.0","0.958771560790913","0.9755994951619688","0.9953723180479596"
"ChEMBL","Audit-15","random","RF-scalars","1","2","0.8289653645207784","0.7264042699079127","0.4700004474613474","9508","2377","1.0","0.9436264198569626","0.9655027345393352","0.9920067311737484"
"ChEMBL","Audit-15","random","RF-scalars","1","3","0.8381485707422531","0.7219734836478171","0.4944610767710476","9508","2377","1.0","0.9448885149347918","0.9650820361800588","0.9945309213294068"
"ChEMBL","Audit-15","random","RF-scalars","1","4","0.848091820802306","0.7594072520052075","0.5107785541637428","9508","2377","1.0","0.9507782919646612","0.9718132099284812","0.993689524610854"
"ChEMBL","Audit-15","random","RF-scalars","2","0","0.8329863802125574","0.7191782425951432","0.4733006108820893","9508","2377","1.0","0.945309213294068","0.972654606647034","0.9911653344551956"
"ChEMBL","Audit-15","random","RF-scalars","2","1","0.829953168838503","0.7391985468127631","0.5066405919716344","9508","2377","1.0","0.9469920067311738","0.96844762305427","0.9945309213294068"
"ChEMBL","Audit-15","random","RF-scalars","2","2","0.8365526663463848","0.7405105924481904","0.4910310161349843","9508","2377","1.0","0.9448885149347918","0.9692890197728228","0.9941102229701304"
"ChEMBL","Audit-15","random","RF-scalars","2","3","0.8335286301945711","0.7331763752685004","0.4976165618163246","9508","2377","1.0","0.949516196886832","0.9709718132099284","0.995793016407236"
"ChEMBL","Audit-15","random","RF-scalars","2","4","0.8375897039394667","0.7475820218509586","0.4909726828331175","9508","2377","1.0","0.949516196886832","0.9676062263357172","0.991586032814472"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","0","0.5721235429316073","0.4447812778761302","0.1010828173284383","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","1","0.516978826889763","0.512411046108048","0.0143474200062567","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","2","0.5763929530755263","0.305106162613973","0.0663852961713781","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","3","0.5348800875940306","0.4132585386863375","0.0829809913845222","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","0","4","0.523872812437139","0.433989261668359","0.0302318737727385","9457","1850","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","0","0.5654732071256731","0.4393434971181166","0.0924362909967818","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","1","0.5162354215792493","0.514846504881812","0.004607254857067","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","2","0.5764969735167367","0.3016213560910452","0.0641069283312709","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","3","0.5511625835074282","0.4297224573670535","0.0916426695083974","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","1","4","0.5265476977307777","0.4374754314885887","0.0425993827111348","9457","1850","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","0","0.571902029155688","0.4438685698526965","0.1040743269902817","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","1","0.52468699486098","0.5139156844725586","0.0248597801187658","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","2","0.5788287366529837","0.3051663456621686","0.0534678101818913","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","3","0.540721411214205","0.416444190934362","0.0826548688686516","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","ECFP-XGB","2","4","0.5325159008400624","0.4405593090304481","0.0596951854044525","9457","1850","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","0","0","0.5787394210390652","0.4655051455036182","0.0901696598438619","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","0","1","0.5221732492859255","0.5084829092932386","0.032498705328524","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","0","2","0.6488965648016654","0.3732139819622184","0.1925644823274649","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","0","3","0.5523988937121844","0.4442863364554051","0.0556789524041511","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","0","4","0.645397497054513","0.5236711558202576","0.1214836207906408","9457","1850","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","1","0","0.5815989625100241","0.4624502684852759","0.0846823040839404","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","1","1","0.5282812672000742","0.515412246196051","0.0362576128902009","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","1","2","0.6344380645240502","0.3582625114854215","0.168356811509195","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","1","3","0.5433541386371794","0.4359742073813092","0.0777766276894352","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","1","4","0.6366987317643227","0.5185962634809109","0.1302496397229415","9457","1850","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","2","0","0.5787814862813611","0.4656291141572017","0.0982864065035166","8495","3060","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","2","1","0.5408579614254843","0.5235435238751303","0.0179215908875763","9326","2351","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","2","2","0.6388608090539393","0.35969389514801","0.1807497795024624","8591","2821","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","2","3","0.5463264478709641","0.436755679115248","0.0709840588083723","9575","1803","0.0","0.0","0.0","0.0"
"ChEMBL","Audit-15","target-cluster+scaffold+source","RF-scalars","2","4","0.654287838730998","0.5280107621869325","0.1276433912770964","9457","1850","0.0","0.0","0.0","0.0"
