experiment,split_mode,variant,seed,train_source,test_source,coverage,accuracy,risk,positive_precision,positive_lift,cutoff_year
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.8,0.6268,0.3732,0.341,1.0903,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,1.0,0.6046,0.3954,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.1,0.6865,0.3135,0.4433,1.4174,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.2,0.6555,0.3445,0.4361,1.3943,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.4,0.6533,0.3467,0.397,1.2695,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.6,0.6406,0.3594,0.3608,1.1537,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.8,0.6251,0.3749,0.338,1.0807,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,1.0,0.6043,0.3957,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.1,0.8728,0.1272,0.5825,1.8624,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.2,0.8125,0.1875,0.4797,1.5336,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.4,0.7665,0.2335,0.4044,1.293,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.6,0.7324,0.2676,0.37,1.1829,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.8,0.698,0.302,0.3438,1.0992,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,1.0,0.6632,0.3368,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.1,0.7817,0.2183,0.3846,1.2298,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.2,0.7009,0.2991,0.3478,1.112,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.4,0.6339,0.3661,0.3289,1.0516,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.6,0.5441,0.4559,0.3246,1.0378,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.8,0.4859,0.5141,0.3273,1.0464,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,1.0,0.4769,0.5231,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.1,0.8044,0.1956,0.4633,1.4814,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.2,0.7574,0.2426,0.4096,1.3097,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.4,0.685,0.315,0.3736,1.1945,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.6,0.6473,0.3527,0.3583,1.1457,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.8,0.6166,0.3834,0.3392,1.0845,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,1.0,0.593,0.407,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.1,0.8173,0.1827,0.4691,1.4999,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.2,0.7429,0.2571,0.4085,1.3061,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.4,0.6666,0.3334,0.3786,1.2105,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.6,0.6338,0.3662,0.3614,1.1554,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.8,0.6062,0.3938,0.3393,1.0848,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,1.0,0.5863,0.4137,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.1,0.8377,0.1623,0.4767,1.5241,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.2,0.7867,0.2133,0.4212,1.3466,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.4,0.7421,0.2579,0.3834,1.2258,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.6,0.7082,0.2918,0.3573,1.1423,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.8,0.6783,0.3217,0.3381,1.0809,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,1.0,0.6494,0.3506,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.1,0.7635,0.2365,0.3828,1.2241,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.2,0.7007,0.2993,0.3449,1.1028,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.4,0.6344,0.3656,0.3351,1.0715,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.6,0.5301,0.4699,0.3269,1.0452,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0.8,0.4759,0.5241,0.3275,1.0471,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,1.0,0.4733,0.5267,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.1,0.8173,0.1827,0.4584,1.4658,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.2,0.7543,0.2457,0.4025,1.2869,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.4,0.6771,0.3229,0.3759,1.202,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.6,0.6425,0.3575,0.3571,1.1416,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0.8,0.6121,0.3879,0.3387,1.0829,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,1.0,0.5937,0.4063,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.1,0.807,0.193,0.4478,1.4316,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.2,0.7452,0.2548,0.4076,1.3033,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.4,0.6617,0.3383,0.3804,1.2162,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.6,0.6295,0.3705,0.361,1.1542,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,0.8,0.6067,0.3933,0.3384,1.082,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,1,chembl_raw,bindingdb_raw,1.0,0.5901,0.4099,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.1,0.8426,0.1574,0.4691,1.4999,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.2,0.7865,0.2135,0.4198,1.3424,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.4,0.7389,0.2611,0.3699,1.1828,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.6,0.7038,0.2962,0.3551,1.1355,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,0.8,0.6713,0.3287,0.3376,1.0793,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,1,chembl_raw,bindingdb_raw,1.0,0.6457,0.3543,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.1,0.7808,0.2192,0.4157,1.3293,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.2,0.6871,0.3129,0.3722,1.1902,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.4,0.6477,0.3523,0.3436,1.0985,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.6,0.5388,0.4612,0.3333,1.0658,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0.8,0.4837,0.5163,0.3273,1.0466,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,1.0,0.4792,0.5208,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.1,0.8253,0.1747,0.4633,1.4814,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.2,0.7574,0.2426,0.398,1.2727,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.4,0.6817,0.3183,0.3739,1.1956,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.6,0.6401,0.3599,0.3576,1.1433,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0.8,0.612,0.388,0.3401,1.0873,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,2,chembl_raw,bindingdb_raw,1.0,0.593,0.407,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.1,0.8288,0.1712,0.4495,1.4373,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.2,0.7427,0.2573,0.4025,1.2869,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.4,0.6666,0.3334,0.3794,1.213,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.6,0.6324,0.3676,0.3615,1.1559,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,0.8,0.6082,0.3918,0.3412,1.091,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,2,chembl_raw,bindingdb_raw,1.0,0.5902,0.4098,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.1,0.8422,0.1578,0.4984,1.5937,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.2,0.7941,0.2059,0.4392,1.4042,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.4,0.7457,0.2543,0.3833,1.2254,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.6,0.7117,0.2883,0.3574,1.1428,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,0.8,0.6855,0.3145,0.3404,1.0884,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,2,chembl_raw,bindingdb_raw,1.0,0.6526,0.3474,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.1,0.7719,0.2281,0.3402,1.0876,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.2,0.6682,0.3318,0.3324,1.063,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.4,0.5957,0.4043,0.3309,1.058,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.6,0.5106,0.4894,0.3253,1.04,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0.8,0.4693,0.5307,0.3245,1.0377,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,1.0,0.4666,0.5334,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.1,0.791,0.209,0.4451,1.4231,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.2,0.7196,0.2804,0.4145,1.3253,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.4,0.6544,0.3456,0.3729,1.1924,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.6,0.6124,0.3876,0.3516,1.1241,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0.8,0.5839,0.4161,0.3362,1.0749,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,1.0,0.5654,0.4346,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.1,0.7617,0.2383,0.4575,1.4629,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.2,0.7014,0.2986,0.4189,1.3395,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.4,0.6401,0.3599,0.3932,1.2571,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.6,0.6174,0.3826,0.3602,1.1518,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0.8,0.5994,0.4006,0.3364,1.0757,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,1.0,0.5873,0.4127,0.3128,1.0,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.1,0.8217,0.1783,0.4629,1.48,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.2,0.7765,0.2235,0.4214,1.3474,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.4,0.7298,0.2702,0.3803,1.2158,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.6,0.71,0.29,0.3493,1.117,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0.8,0.6865,0.3135,0.337,1.0775,
cross_database_transfer,chembl_to_bindingdb_pair_scaffold_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,1.0,0.6563,0.3437,0.3128,1.0,
