benchmark,subset,split_mode,variant,feature_family,representation,pair_feature_mode,n_runs,test_positive_rate,target_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,label_score_spearman,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_SMILESTransformer_concat_xgb,published_pretrained_molecular_representation,SMILESTransformer,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.9169 +/- 0.0302,0.7878 +/- 0.0655,0.6294 +/- 0.0614,0.8226 +/- 0.0354,0.7145 +/- 0.0476,0.6044 +/- 0.0448,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_SMILESTransformer_sym_xgb,published_pretrained_molecular_representation,SMILESTransformer,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.9032 +/- 0.0344,0.7652 +/- 0.0578,0.5833 +/- 0.0733,0.7847 +/- 0.0407,0.6726 +/- 0.0591,0.5844 +/- 0.0494,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_GROVER_concat_xgb,published_pretrained_molecular_representation,GROVER,concat,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8821 +/- 0.0292,0.6903 +/- 0.0699,0.5653 +/- 0.0732,0.7951 +/- 0.0410,0.6672 +/- 0.0552,0.5538 +/- 0.0422,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,random,pretrained_GROVER_sym_xgb,published_pretrained_molecular_representation,GROVER,sym,25,0.2263 +/- 0.0024,1.0000 +/- 0.0000,0.8579 +/- 0.0328,0.6620 +/- 0.0575,0.5078 +/- 0.0778,0.7482 +/- 0.0429,0.6132 +/- 0.0633,0.5189 +/- 0.0478,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,ecfp_absdiff_xgb,fingerprint,ECFP4,absdiff,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5938 +/- 0.0865,0.3747 +/- 0.1315,0.2256 +/- 0.1127,0.6084 +/- 0.0568,0.3848 +/- 0.1140,0.1398 +/- 0.1311,0.0000,0.0000,0.0000
ACNet-Few,MMP_AC_Few_pretrained_representation,target,rich_pair_only_xgb,pccfrl,rich_pair,diff_common_scalar,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5758 +/- 0.0919,0.3107 +/- 0.1101,0.0383 +/- 0.1320,0.5262 +/- 0.0679,0.2138 +/- 0.1760,0.1094 +/- 0.1306,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_GraphLoG_concat_xgb,published_pretrained_molecular_representation,GraphLoG,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.4294 +/- 0.0924,0.2333 +/- 0.0864,-0.0404 +/- 0.0753,0.4909 +/- 0.0259,0.0888 +/- 0.1131,-0.0988 +/- 0.1275,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_GraphLoG_sym_xgb,published_pretrained_molecular_representation,GraphLoG,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.4729 +/- 0.0840,0.2345 +/- 0.0710,-0.0375 +/- 0.0773,0.4919 +/- 0.0234,0.0538 +/- 0.0713,-0.0376 +/- 0.1199,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_ChemBERT_concat_xgb,published_pretrained_molecular_representation,ChemBERT,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5185 +/- 0.0711,0.3124 +/- 0.1023,0.0384 +/- 0.0965,0.5203 +/- 0.0419,0.1299 +/- 0.1247,0.0261 +/- 0.0988,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_ChemBERT_sym_xgb,published_pretrained_molecular_representation,ChemBERT,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5298 +/- 0.0595,0.2920 +/- 0.0829,0.0484 +/- 0.1145,0.5216 +/- 0.0431,0.1366 +/- 0.1263,0.0469 +/- 0.0890,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_Pretrain8_concat_xgb,published_pretrained_molecular_representation,Pretrain8,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5138 +/- 0.1022,0.2676 +/- 0.0882,-0.0019 +/- 0.0592,0.4990 +/- 0.0150,0.0557 +/- 0.0585,0.0255 +/- 0.1460,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_PretrainGNNs_concat_xgb,published_pretrained_molecular_representation,PretrainGNNs,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5255 +/- 0.0668,0.2709 +/- 0.0729,-0.0036 +/- 0.0673,0.4989 +/- 0.0111,0.0158 +/- 0.0447,0.0339 +/- 0.0925,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_PretrainGNNs_sym_xgb,published_pretrained_molecular_representation,PretrainGNNs,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5446 +/- 0.1099,0.2759 +/- 0.0737,-0.0461 +/- 0.0600,0.4907 +/- 0.0121,0.0127 +/- 0.0208,0.0646 +/- 0.1522,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_Pretrain8_sym_xgb,published_pretrained_molecular_representation,Pretrain8,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5143 +/- 0.1069,0.2962 +/- 0.1081,0.0363 +/- 0.1012,0.5055 +/- 0.0189,0.0381 +/- 0.0636,0.0255 +/- 0.1509,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_MAT_concat_xgb,published_pretrained_molecular_representation,MAT,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5246 +/- 0.0969,0.2735 +/- 0.0725,0.0023 +/- 0.0911,0.5066 +/- 0.0319,0.1333 +/- 0.1185,0.0360 +/- 0.1356,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_MAT_sym_xgb,published_pretrained_molecular_representation,MAT,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5562 +/- 0.1355,0.3221 +/- 0.1242,0.0768 +/- 0.1771,0.5292 +/- 0.0654,0.1757 +/- 0.1441,0.0844 +/- 0.1909,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_SMILESTransformer_concat_xgb,published_pretrained_molecular_representation,SMILESTransformer,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.6037 +/- 0.0767,0.3497 +/- 0.1078,0.1009 +/- 0.1638,0.5555 +/- 0.0778,0.2269 +/- 0.1809,0.1516 +/- 0.1145,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_SMILESTransformer_sym_xgb,published_pretrained_molecular_representation,SMILESTransformer,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5779 +/- 0.1026,0.3326 +/- 0.1234,0.1235 +/- 0.1250,0.5486 +/- 0.0499,0.1893 +/- 0.1584,0.1145 +/- 0.1500,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_GROVER_concat_xgb,published_pretrained_molecular_representation,GROVER,concat,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.5380 +/- 0.1070,0.3140 +/- 0.1297,0.0817 +/- 0.1078,0.5251 +/- 0.0385,0.1052 +/- 0.1273,0.0595 +/- 0.1548,,,
ACNet-Few,MMP_AC_Few_pretrained_representation,target,pretrained_GROVER_sym_xgb,published_pretrained_molecular_representation,GROVER,sym,25,0.2366 +/- 0.0613,0.0000 +/- 0.0000,0.6170 +/- 0.1168,0.3950 +/- 0.1378,0.1493 +/- 0.1706,0.5480 +/- 0.0613,0.1706 +/- 0.1733,0.1709 +/- 0.1650,,,
