experiment,split_mode,variant,seed,train_source,test_source,bin,bin_left,bin_right,n,mean_prob,observed_rate,cutoff_year
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,7,0.7,0.8,379,0.7433,0.7309,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,8,0.8,0.9,145,0.8465,0.8897,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,0,chembl_raw,bindingdb_raw,9,0.9,1.0,65,0.9363,0.8308,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,1,0.1,0.2,18,0.1869,0.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,2,0.2,0.3,219,0.2497,0.0046,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,3,0.3,0.4,761,0.3661,0.2247,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,4,0.4,0.5,8327,0.4653,0.2955,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,5,0.5,0.6,13041,0.5192,0.3322,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,6,0.6,0.7,66,0.6587,0.4394,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,7,0.7,0.8,52,0.7564,0.7308,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,1,0.1,0.2,393,0.1826,0.0153,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,2,0.2,0.3,677,0.2505,0.1713,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,3,0.3,0.4,1984,0.3688,0.2167,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,4,0.4,0.5,10907,0.4558,0.285,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,5,0.5,0.6,6716,0.5385,0.3755,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,6,0.6,0.7,1674,0.6389,0.4432,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,7,0.7,0.8,118,0.7211,0.7966,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,8,0.8,0.9,15,0.8187,0.8667,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,1,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,1,0.1,0.2,388,0.1706,0.0206,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,2,0.2,0.3,490,0.2576,0.2102,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,3,0.3,0.4,1949,0.3677,0.2052,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,4,0.4,0.5,10897,0.4549,0.2772,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,5,0.5,0.6,6788,0.5364,0.3827,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,6,0.6,0.7,1721,0.6372,0.4108,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,7,0.7,0.8,251,0.7221,0.7769,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,1,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,0,0.0,0.1,491,0.0503,0.0122,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,1,0.1,0.2,726,0.1607,0.1033,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,2,0.2,0.3,2671,0.2591,0.2164,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,3,0.3,0.4,6336,0.3539,0.2707,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,4,0.4,0.5,7015,0.4475,0.3259,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,5,0.5,0.6,3527,0.5419,0.3777,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,6,0.6,0.7,1150,0.6399,0.5217,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,7,0.7,0.8,354,0.746,0.7232,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,8,0.8,0.9,150,0.8444,0.86,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,1,chembl_raw,bindingdb_raw,9,0.9,1.0,64,0.9365,0.8594,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,1,0.1,0.2,31,0.1876,0.0,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,2,0.2,0.3,210,0.2562,0.0238,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,3,0.3,0.4,700,0.3663,0.2129,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,4,0.4,0.5,8192,0.4654,0.2976,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,5,0.5,0.6,13239,0.5201,0.3306,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,6,0.6,0.7,59,0.6501,0.4237,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,7,0.7,0.8,53,0.7526,0.717,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,ecfp_absdiff_xgb,2,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,1,0.1,0.2,375,0.1832,0.008,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,2,0.2,0.3,549,0.2483,0.153,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,3,0.3,0.4,1919,0.3646,0.2204,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,4,0.4,0.5,11040,0.4578,0.2854,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,5,0.5,0.6,6867,0.5355,0.3738,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,6,0.6,0.7,1615,0.6405,0.4464,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,7,0.7,0.8,103,0.7207,0.6699,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,8,0.8,0.9,16,0.8302,0.875,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_diff_scalars,2,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,1,0.1,0.2,401,0.1691,0.02,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,2,0.2,0.3,322,0.2545,0.177,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,3,0.3,0.4,1732,0.3695,0.2067,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,4,0.4,0.5,10981,0.4547,0.2748,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,5,0.5,0.6,7064,0.5371,0.3853,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,6,0.6,0.7,1740,0.641,0.3908,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,7,0.7,0.8,244,0.7213,0.7746,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,rich_scalars_only,2,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,0,0.0,0.1,485,0.0512,0.0103,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,1,0.1,0.2,730,0.1565,0.1205,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,2,0.2,0.3,2597,0.2608,0.228,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,3,0.3,0.4,6045,0.3539,0.2642,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,4,0.4,0.5,7001,0.4476,0.3152,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,5,0.5,0.6,3882,0.542,0.3748,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,6,0.6,0.7,1154,0.6397,0.5511,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,7,0.7,0.8,391,0.7419,0.7084,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,8,0.8,0.9,131,0.8431,0.8779,
cross_database_transfer,chembl_to_bindingdb_matched_targets,extratrees_scalars,2,chembl_raw,bindingdb_raw,9,0.9,1.0,68,0.9386,0.8824,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,1,0.1,0.2,46,0.1804,0.0217,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,2,0.2,0.3,297,0.2626,0.064,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,3,0.3,0.4,661,0.3621,0.1861,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,4,0.4,0.5,7900,0.4704,0.3119,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,5,0.5,0.6,13472,0.5114,0.3235,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,6,0.6,0.7,56,0.635,0.5179,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,7,0.7,0.8,52,0.7576,0.7308,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,1,0.1,0.2,290,0.1886,0.0103,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,2,0.2,0.3,787,0.2513,0.122,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,3,0.3,0.4,2813,0.3606,0.2385,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,4,0.4,0.5,10145,0.4598,0.3053,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,5,0.5,0.6,7435,0.5342,0.3528,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,6,0.6,0.7,932,0.6394,0.5204,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,7,0.7,0.8,61,0.7184,0.623,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,8,0.8,0.9,21,0.8296,0.9048,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,1,0.1,0.2,296,0.1866,0.0135,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,2,0.2,0.3,567,0.2559,0.097,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,3,0.3,0.4,2481,0.3592,0.2269,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,4,0.4,0.5,9834,0.4592,0.2941,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,5,0.5,0.6,8294,0.5361,0.3607,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,6,0.6,0.7,921,0.6405,0.5027,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,7,0.7,0.8,91,0.7192,0.6923,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_scalars_only,0,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,0,0.0,0.1,374,0.0537,0.0214,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,1,0.1,0.2,615,0.1613,0.135,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,2,0.2,0.3,2856,0.2606,0.2419,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,3,0.3,0.4,6234,0.3536,0.2822,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,4,0.4,0.5,7349,0.4486,0.3249,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,5,0.5,0.6,3708,0.5409,0.377,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,6,0.6,0.7,1062,0.6366,0.468,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,7,0.7,0.8,201,0.7384,0.6816,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,8,0.8,0.9,70,0.8386,0.8857,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,extratrees_scalars,0,chembl_raw,bindingdb_raw,9,0.9,1.0,15,0.9457,0.6,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,1,0.1,0.2,53,0.183,0.0377,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,2,0.2,0.3,258,0.257,0.1085,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,3,0.3,0.4,636,0.3576,0.1824,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,4,0.4,0.5,7544,0.4668,0.3042,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,5,0.5,0.6,13891,0.5138,0.326,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,6,0.6,0.7,54,0.6353,0.4815,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,7,0.7,0.8,48,0.7476,0.75,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,8,0.8,0.9,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,1,chembl_raw,bindingdb_raw,9,0.9,1.0,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,0,0.0,0.1,0,,,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,1,0.1,0.2,295,0.1892,0.0237,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,2,0.2,0.3,759,0.2526,0.1133,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,3,0.3,0.4,2910,0.3592,0.234,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,4,0.4,0.5,9944,0.4595,0.3039,
cross_database_transfer,chembl_to_bindingdb_exact_ligand_purged,rich_diff_scalars,1,chembl_raw,bindingdb_raw,5,0.5,0.6,7566,0.5363,0.3598,
