source,condition,split_mode,variant,n_runs,n_train,n_test,train_retention_after_purge,test_positive_rate,exact_ligand_overlap_rate,scaffold_overlap_rate,document_source_overlap_rate,assay_source_overlap_rate,roc_auc,pr_auc,mcc,balanced_accuracy,f1,brier,ece_10,delta_roc_auc_vs_ecfp,delta_pr_auc_vs_ecfp,delta_mcc_vs_ecfp
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.6012 +/- 0.0316,0.4804 +/- 0.0935,0.1509 +/- 0.0541,0.5756 +/- 0.0268,0.4890 +/- 0.0818,0.2400 +/- 0.0044,0.1028 +/- 0.0542,0.0751,0.0690,0.0758
chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,15,7830 +/- 460,2041 +/- 520,0.9593 +/- 0.0165,0.3993 +/- 0.0809,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5913 +/- 0.0251,0.4711 +/- 0.0975,0.1400 +/- 0.0425,0.5699 +/- 0.0206,0.4809 +/- 0.0828,0.2414 +/- 0.0032,0.1035 +/- 0.0573,0.0652,0.0598,0.0649
bindingdb_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5130 +/- 0.0087,0.3339 +/- 0.0740,0.0273 +/- 0.0321,0.5121 +/- 0.0149,0.3171 +/- 0.0954,0.2504 +/- 0.0013,0.1788 +/- 0.0695,0.0000,0.0000,0.0000
bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5727 +/- 0.0369,0.3847 +/- 0.0517,0.0978 +/- 0.0440,0.5531 +/- 0.0257,0.4408 +/- 0.0364,0.2507 +/- 0.0038,0.1827 +/- 0.0765,0.0596,0.0508,0.0704
bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,15,16973 +/- 864,4497 +/- 1206,0.9450 +/- 0.0324,0.3224 +/- 0.0690,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5693 +/- 0.0321,0.3839 +/- 0.0510,0.0928 +/- 0.0399,0.5500 +/- 0.0226,0.4399 +/- 0.0422,0.2511 +/- 0.0037,0.1842 +/- 0.0749,0.0563,0.0500,0.0654
bindingdb_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5156 +/- 0.0187,0.3188 +/- 0.0786,0.0477 +/- 0.0410,0.5200 +/- 0.0170,0.2705 +/- 0.0464,0.2491 +/- 0.0015,0.1971 +/- 0.0695,0.0000,0.0000,0.0000
bindingdb_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5668 +/- 0.0191,0.3618 +/- 0.0719,0.0886 +/- 0.0323,0.5478 +/- 0.0174,0.4138 +/- 0.0622,0.2483 +/- 0.0076,0.1997 +/- 0.0725,0.0512,0.0430,0.0409
bindingdb_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,15,12760 +/- 627,3404 +/- 988,0.9389 +/- 0.0324,0.3006 +/- 0.0701,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5730 +/- 0.0205,0.3680 +/- 0.0730,0.0976 +/- 0.0317,0.5526 +/- 0.0163,0.4230 +/- 0.0664,0.2484 +/- 0.0069,0.2014 +/- 0.0716,0.0574,0.0492,0.0499
bindingdb_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5175 +/- 0.0239,0.3547 +/- 0.1722,0.0130 +/- 0.0247,0.5062 +/- 0.0116,0.4606 +/- 0.1815,0.2548 +/- 0.0078,0.2023 +/- 0.1259,0.0000,0.0000,0.0000
bindingdb_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5333 +/- 0.0499,0.3730 +/- 0.1500,0.0177 +/- 0.0596,0.5134 +/- 0.0348,0.4256 +/- 0.1404,0.2630 +/- 0.0105,0.2174 +/- 0.1236,0.0157,0.0183,0.0048
bindingdb_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,15,4793 +/- 639,1223 +/- 638,0.9794 +/- 0.0203,0.3409 +/- 0.1663,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5359 +/- 0.0498,0.3699 +/- 0.1473,0.0316 +/- 0.0623,0.5198 +/- 0.0335,0.4321 +/- 0.1498,0.2607 +/- 0.0124,0.2131 +/- 0.1239,0.0184,0.0152,0.0186
bindingdb_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5229 +/- 0.0182,0.2850 +/- 0.0604,0.0261 +/- 0.0551,0.5086 +/- 0.0205,0.1953 +/- 0.0762,0.2467 +/- 0.0014,0.2313 +/- 0.0489,0.0000,0.0000,0.0000
bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5237 +/- 0.0482,0.2958 +/- 0.0634,0.0260 +/- 0.0764,0.5143 +/- 0.0405,0.3346 +/- 0.0492,0.2485 +/- 0.0143,0.2341 +/- 0.0543,0.0008,0.0107,-0.0000
bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,15,4394 +/- 87,1166 +/- 245,0.9441 +/- 0.0363,0.2618 +/- 0.0491,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5332 +/- 0.0452,0.2996 +/- 0.0637,0.0279 +/- 0.0711,0.5158 +/- 0.0372,0.3433 +/- 0.0495,0.2489 +/- 0.0151,0.2349 +/- 0.0552,0.0103,0.0146,0.0018
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5069 +/- 0.0157,0.3579 +/- 0.0634,0.0231 +/- 0.0278,0.5091 +/- 0.0102,0.2183 +/- 0.0537,0.2498 +/- 0.0008,0.1453 +/- 0.0641,0.0000,0.0000,0.0000
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5593 +/- 0.0341,0.4168 +/- 0.0637,0.0834 +/- 0.0489,0.5433 +/- 0.0249,0.4476 +/- 0.0447,0.2488 +/- 0.0057,0.1533 +/- 0.0602,0.0525,0.0589,0.0604
bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,15,10896 +/- 350,2876 +/- 691,0.9489 +/- 0.0312,0.3528 +/- 0.0640,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.5598 +/- 0.0269,0.4164 +/- 0.0650,0.0783 +/- 0.0418,0.5408 +/- 0.0216,0.4528 +/- 0.0458,0.2498 +/- 0.0056,0.1564 +/- 0.0612,0.0529,0.0585,0.0552
