panel,metric,display_metric,seed,fold,fold_mode,value,source_artifact,audit_scope
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,3,target_cluster_balanced,0.3498654813428471,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2a_pair_overlap,pair_overlap_rate,Pair overlap rate,4,4,target_cluster_balanced,0.3943122460824144,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,0,random,0.9993013832611428,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,1,random,0.06620422801057,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,2,random,0.8835066864784547,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,3,random,0.9998740078115156,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,4,random,0.9998142127264282,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,0,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,1,random,0.8895636527215475,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,2,random,0.9999429825811784,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,3,random,0.9996496145760336,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,4,random,0.9993447456794168,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,0,random,0.999856702729813,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,1,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,2,random,0.8894333191308053,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,3,random,0.8290232251688354,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,4,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,0,random,0.865392140421488,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,1,random,0.9922138047138048,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,2,random,0.9763964228119044,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,3,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,4,random,0.99697289363849,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,0,random,0.7001221498371335,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,1,random,0.9789788293897884,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,2,random,0.9971516733918824,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,3,random,0.9972426470588236,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,4,random,0.999930174911846,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,1,target_cluster_balanced,0.0061596434653429,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,3,target_cluster_balanced,0.3296780214652356,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,0,4,target_cluster_balanced,0.4020018621973929,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,1,target_cluster_balanced,0.0061596434653429,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,3,target_cluster_balanced,0.3512691542870511,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,1,4,target_cluster_balanced,0.4126523505513639,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,1,target_cluster_balanced,0.0061596434653429,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,3,target_cluster_balanced,0.3296780214652356,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,2,4,target_cluster_balanced,0.4020018621973929,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,1,target_cluster_balanced,0.0061596434653429,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,3,target_cluster_balanced,0.3512691542870511,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,3,4,target_cluster_balanced,0.4126523505513639,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,1,target_cluster_balanced,0.0061596434653429,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,2,target_cluster_balanced,0.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,3,target_cluster_balanced,0.3512691542870511,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2b_ligand_overlap,any_ligand_overlap_rate,Any-ligand overlap rate,4,4,target_cluster_balanced,0.4126523505513639,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,0,random,0.9993013832611428,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,1,random,0.0663929784824462,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,2,random,0.8868746904408122,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,3,random,0.9998740078115156,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,4,random,0.9998142127264282,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,0,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,1,random,0.8918128654970761,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,2,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,3,random,0.9996496145760336,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,4,random,0.9993447456794168,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,0,random,0.999856702729813,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,1,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,2,random,0.8853855986365573,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,3,random,0.8382474056992258,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,4,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,0,random,0.8697523617865728,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,1,random,0.9916526374859708,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,2,random,0.9765430288813955,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,3,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,4,random,0.99862404256295,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,0,random,0.7149837133550488,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,1,random,0.9688667496886676,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,2,random,0.9971516733918824,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,3,random,0.9972426470588236,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,4,random,1.0,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,1,target_cluster_balanced,0.0075727381426863,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,2,target_cluster_balanced,0.0093881157499447,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,3,target_cluster_balanced,0.3460102659822678,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,0,4,target_cluster_balanced,0.429352886405959,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,1,target_cluster_balanced,0.0075727381426863,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,2,target_cluster_balanced,0.0093881157499447,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,3,target_cluster_balanced,0.3676453386360978,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,1,4,target_cluster_balanced,0.4402785838653511,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,1,target_cluster_balanced,0.0075727381426863,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,2,target_cluster_balanced,0.0093881157499447,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,3,target_cluster_balanced,0.3460102659822678,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,2,4,target_cluster_balanced,0.429352886405959,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,1,target_cluster_balanced,0.0075727381426863,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,2,target_cluster_balanced,0.0093881157499447,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,3,target_cluster_balanced,0.3676453386360978,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,3,4,target_cluster_balanced,0.4402785838653511,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
fig2c_scaffold_overlap,pair_scaffold_overlap_rate,Pair-scaffold overlap rate,4,0,target_cluster_balanced,0.0013883629938154,results/leakage_and_split_audit.csv,ACNet random vs target-cluster-balanced fold leakage audit
