benchmark,protocol,support_percent,support_label,model_family,variant,roc_auc_mean,roc_auc_std,pr_auc_mean,mcc_mean,support_rows_mean,query_rows_mean,count
bindingdb_raw,natural_frac,30,30%,support-only ExtraTrees,natural_frac_f0.3_support_only_extratrees,0.767238873368,0.0349771708529934,0.607765446552,0.35160425196,1348.8,3148.0,25
bindingdb_raw,stratified_frac_previous,30,30%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5_f0.3,0.7616478506280001,0.0361129800918603,0.606510126012,0.344830765388,1349.2,3147.6,25
bindingdb_raw,best_active,50,50%,source+support latent anchor,active_uncertainty_diverse_frac_f0.5_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5,0.7510602861640001,0.0394047344556513,0.577743523612,0.335539631608,2248.2,2248.6,25
bindingdb_raw,natural_frac,50,50%,source+support latent anchor,natural_frac_f0.5_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5,0.794136791416,0.0420808603723573,0.648933847932,0.3923058009999999,2248.2,2248.6,25
bindingdb_raw,stratified_frac_previous,50,50%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5_f0.5,0.796679575448,0.041273778725605,0.6515167157439999,0.396725817576,2248.0,2248.8,25
chembl_raw,best_active,5,5%,source+support latent anchor,active_uncertainty_diverse_frac_f0.05_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.6680626318360001,0.0476501810073704,0.538861928988,0.229212234652,118.8,2258.2,25
chembl_raw,natural_frac,5,5%,source+support latent anchor,natural_frac_f0.05_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.6874772216400001,0.047047695735995,0.569968654784,0.253765692,118.8,2258.2,25
chembl_raw,stratified_frac_previous,5,5%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35_f0.05,0.692580573344,0.0455797533101458,0.5708267649040001,0.264289608968,118.6,2258.4,25
chembl_raw,best_active,10,10%,source+support latent anchor,active_uncertainty_diverse_frac_f0.1_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.69537557968,0.0536507424848276,0.566034260636,0.2699182093,237.6,2139.4,25
chembl_raw,natural_frac,10,10%,source+support latent anchor,natural_frac_f0.1_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.7221589417040001,0.0417108136032803,0.606043407668,0.306670046248,237.6,2139.4,25
chembl_raw,stratified_frac_previous,10,10%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35_f0.1,0.7171947673600001,0.0477236211906295,0.599020935344,0.298684050232,237.8,2139.2,25
chembl_raw,best_active,20,20%,source+support latent anchor,active_uncertainty_diverse_frac_f0.2_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.7174450643720001,0.0511590423678088,0.5895747209960001,0.302691791928,475.4,1901.6,25
chembl_raw,natural_frac,20,20%,support-only ExtraTrees,natural_frac_f0.2_support_only_extratrees,0.755543963132,0.0435622961410342,0.6517286123799999,0.357900441028,475.4,1901.6,25
chembl_raw,stratified_frac_previous,20,20%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35_f0.2,0.75519618518,0.0392421117643486,0.6459388702040001,0.35441862524,475.2,1901.8,25
chembl_raw,best_active,30,30%,source+support latent anchor,active_uncertainty_diverse_frac_f0.3_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5,0.73311667206,0.0503026594521954,0.602754477488,0.328404076772,713.0,1664.0,25
chembl_raw,natural_frac,30,30%,source+support latent anchor,natural_frac_f0.3_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.7762646843400001,0.0374938172034878,0.6753815604560001,0.383334172048,713.0,1664.0,25
chembl_raw,stratified_frac_previous,30,30%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5_f0.3,0.7788426438560001,0.0398273950299896,0.676323313244,0.391073891872,713.0,1664.0,25
chembl_raw,best_active,50,50%,source+support latent anchor,active_prediction_balanced_frac_f0.5_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.35,0.7553732790600001,0.0401596356202301,0.638985994588,0.343949682452,1188.6,1188.4,25
chembl_raw,natural_frac,50,50%,source+support latent anchor,natural_frac_f0.5_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5,0.803357857188,0.0373768650327797,0.7048223401360001,0.433920654092,1188.6,1188.4,25
chembl_raw,stratified_frac_previous,50,50%,previous stratified latent anchor,fewshot_latent_anchor_diffbit+molformer_absdiff+chemberta_absdiff_k16_a0.5_f0.5,0.805672122088,0.0383995142625127,0.708833092056,0.431517767628,1188.6,1188.4,25
