benchmark,source,condition,split_mode,variant,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,roc_auc_count,n_train_mean,n_test_mean,train_retention_after_purge_mean,target_overlap_rate_mean,exact_ligand_overlap_rate_mean,scaffold_overlap_rate_mean,document_source_overlap_rate_mean,ef_1pct_mean,ef_5pct_mean,bedroc20_mean,precision_at_50_mean
MoleculeACE,MoleculeACE,default,target_family,rich_scalars_only,0.5772339498867598,0.0316713131702839,0.4350562829086264,0.0432138424376834,0.1005510987677945,0.0486208783182303,25,63799.2,15949.8,1.0,0.0,0.0833494877899233,0.1212616270445446,,,,,
ChEMBL raw,ChEMBL raw,default,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5363290504944555,0.0215176206894837,0.4176464425500821,0.0685799218613453,0.0463904534649257,0.0361136614809467,25,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
ChEMBL raw,ChEMBL raw,default,family_scaffold_source_purged,rich_diff_scalars,0.5736810512590836,0.0643577711972735,0.457436362835829,0.0518684812805994,0.1144186646070853,0.104263381991313,25,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
ChEMBL raw,ChEMBL raw,default,family_scaffold_source_purged,rich_scalars_only,0.5813512076987333,0.06699158537095,0.4643698538824512,0.0548761586221438,0.1360730333665287,0.0953177226321591,25,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
ChEMBL raw,ChEMBL raw,default,target_family,ecfp_absdiff_xgb,0.5450543492937231,0.0138327222047524,0.4225720290003933,0.0727924475081833,0.0652580233563321,0.033059786890874,25,9508.0,2377.0,1.0,0.0,0.0942583543223823,0.1313775287669035,0.1199224712810062,,,,
ChEMBL raw,ChEMBL raw,default,target_family,rich_diff_scalars,0.5775882070850552,0.0608148912095236,0.4721523398661764,0.0607722498668497,0.1205630389251811,0.0865693184571253,25,9508.0,2377.0,1.0,0.0,0.0942583543223823,0.1313775287669035,0.1199224712810062,,,,
ChEMBL raw,ChEMBL raw,default,target_family,rich_scalars_only,0.5816195939142301,0.0652393403790037,0.4735500649594331,0.0636968245952878,0.1413247433841374,0.0959718066905012,25,9508.0,2377.0,1.0,0.0,0.0942583543223823,0.1313775287669035,0.1199224712810062,,,,
ChEMBL raw,ChEMBL raw,default,temporal_forward,ecfp_absdiff_xgb,0.5051726437404683,0.0266645773036077,0.2912794232607211,0.029901018673242,-0.006394247637062,0.0399401143011229,25,8607.6,2870.4,1.0,0.6026607503375067,0.0268138713482941,0.0552691839673776,0.0356775889863099,,,,
ChEMBL raw,ChEMBL raw,default,temporal_forward,rich_diff_scalars,0.6156208776158578,0.0566661144816469,0.3651329525215254,0.0569873578925588,0.124076523324572,0.0633054192062925,25,8607.6,2870.4,1.0,0.6026607503375067,0.0268138713482941,0.0552691839673776,0.0356775889863099,,,,
ChEMBL raw,ChEMBL raw,default,temporal_forward,rich_scalars_only,0.6239908079965572,0.0690235982182038,0.3764406447272997,0.0523472143028944,0.1530196756373322,0.0587869780074412,25,8607.6,2870.4,1.0,0.6026607503375067,0.0268138713482941,0.0552691839673776,0.0356775889863099,,,,
ChEMBL raw,ChEMBL raw,default,temporal_scaffold_source_purged,ecfp_absdiff_xgb,0.5018144717059716,0.0272688681792591,0.2871363225641663,0.029064342140093,0.0007163646404791,0.0433936859721425,25,7903.2,2870.4,0.906961251459846,0.5562939942803172,0.0,0.0,0.0,,,,
ChEMBL raw,ChEMBL raw,default,temporal_scaffold_source_purged,rich_diff_scalars,0.6121802071216171,0.0634284772152375,0.3572643463198559,0.0407854316035954,0.1057056491978214,0.0558212875493107,25,7903.2,2870.4,0.906961251459846,0.5562939942803172,0.0,0.0,0.0,,,,
ChEMBL raw,ChEMBL raw,default,temporal_scaffold_source_purged,rich_scalars_only,0.6094061266854891,0.0798720029034061,0.3562641256004061,0.0398370456114952,0.1287024411210591,0.0550098578576376,25,7903.2,2870.4,0.906961251459846,0.5562939942803172,0.0,0.0,0.0,,,,
BindingDB raw,BindingDB raw,default,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5188309603455805,0.0152169165281775,0.3406828103771475,0.0794727363581231,0.0392783038912506,0.033392899089366,25,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
BindingDB raw,BindingDB raw,default,family_scaffold_source_purged,rich_diff_scalars,0.5741784616247725,0.0293038693650651,0.3891744980189028,0.0589200408639914,0.0973404577225521,0.0342731222636447,25,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
BindingDB raw,BindingDB raw,default,family_scaffold_source_purged,rich_scalars_only,0.5724137602210326,0.0233586016767325,0.3891283223912558,0.0594840705310951,0.0944180297558757,0.0293570697368694,25,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
BindingDB raw,BindingDB raw,default,target_family,ecfp_absdiff_xgb,0.515047805405658,0.0145387055245127,0.3383450370190309,0.0811174725186241,0.0365324456968297,0.0338263047619854,25,17987.2,4496.8,1.0,0.0,0.0852203325983683,0.1938298816972787,0.1739749777514878,,,,
BindingDB raw,BindingDB raw,default,target_family,rich_diff_scalars,0.5813883516983175,0.01651543767496,0.3985342734631152,0.0723684885103973,0.0999344850329186,0.0236995297683607,25,17987.2,4496.8,1.0,0.0,0.0852203325983683,0.1938298816972787,0.1739749777514878,,,,
BindingDB raw,BindingDB raw,default,target_family,rich_scalars_only,0.5829669057153867,0.0167163714754031,0.4035653846590346,0.0729435238066311,0.1063546547475786,0.0276445769284263,25,17987.2,4496.8,1.0,0.0,0.0852203325983683,0.1938298816972787,0.1739749777514878,,,,
LoHi raw,bindingdb_raw,default,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,0.5178166654948503,0.0175695651189401,0.3328283265888248,0.0192910003123093,0.0243480346574905,0.029198474856734,15,3553.866666666667,6406.866666666667,0.221060157053968,0.976079196311822,0.0,0.0,0.0,,,,
LoHi raw,bindingdb_raw,default,lohi_ligand_scaffold_source_purged,rich_diff_scalars,0.5611776128030984,0.0176241663093091,0.3713327562391615,0.02420848825074,0.0845164590800219,0.0292816615504098,15,3553.866666666667,6406.866666666667,0.221060157053968,0.976079196311822,0.0,0.0,0.0,,,,
LoHi raw,bindingdb_raw,default,lohi_ligand_scaffold_source_purged,rich_scalars_only,0.5569266106751225,0.0166807778870605,0.3672782737287476,0.0246048031714167,0.0793841619764863,0.0262518999172472,15,3553.866666666667,6406.866666666667,0.221060157053968,0.976079196311822,0.0,0.0,0.0,,,,
LoHi raw,bindingdb_raw,default,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,0.517696826919254,0.0129494758091912,0.3271680677499714,0.0105625072320135,0.0308271097322822,0.0232824095591818,15,3198.333333333333,4496.8,0.177821395994709,0.9796161204954028,0.0,0.0,0.0,,,,
LoHi raw,bindingdb_raw,default,lohi_pair_scaffold_source_purged,rich_diff_scalars,0.5539802540560459,0.0181285982745171,0.3602838178324292,0.0273180874040903,0.0738054955273058,0.0320502447485368,15,3198.333333333333,4496.8,0.177821395994709,0.9796161204954028,0.0,0.0,0.0,,,,
LoHi raw,bindingdb_raw,default,lohi_pair_scaffold_source_purged,rich_scalars_only,0.5515008624666566,0.0178154645270364,0.3573340219606143,0.026009014100791,0.0769539293389079,0.0282682714365345,15,3198.333333333333,4496.8,0.177821395994709,0.9796161204954028,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_ligand_scaffold_source_purged,ecfp_absdiff_xgb,0.5312668952485817,0.0250608336663621,0.4102286380585586,0.0392860775124542,0.0349133233223004,0.0367536930980174,15,2483.266666666667,3239.733333333333,0.2871910576905164,0.9892462686898292,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_ligand_scaffold_source_purged,rich_diff_scalars,0.5452873238673952,0.0522884105079365,0.4371418920375726,0.0603545046062824,0.0700262101890983,0.0699921264169832,15,2483.266666666667,3239.733333333333,0.2871910576905164,0.9892462686898292,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_ligand_scaffold_source_purged,rich_scalars_only,0.5507494242900012,0.0506144443026532,0.4425095788680849,0.0602917691923486,0.0700463675010098,0.0703533463770142,15,2483.266666666667,3239.733333333333,0.2871910576905164,0.9892462686898292,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_pair_scaffold_source_purged,ecfp_absdiff_xgb,0.5471155904547101,0.0262708576667902,0.4232774187017982,0.0194262895815017,0.0546930855200672,0.0551887230986031,15,2151.333333333333,2377.0,0.2262592172951867,0.9842924036083908,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_pair_scaffold_source_purged,rich_diff_scalars,0.5427887452619172,0.0431368002516922,0.4327700195081574,0.0390468229416883,0.0483985364004572,0.075323937755163,15,2151.333333333333,2377.0,0.2262592172951867,0.9842924036083908,0.0,0.0,0.0,,,,
LoHi raw,chembl_raw,default,lohi_pair_scaffold_source_purged,rich_scalars_only,0.5384415100244738,0.0375147483388276,0.4281393268586915,0.0356040167890561,0.0407034096183637,0.0666391065299616,15,2151.333333333333,2377.0,0.2262592172951867,0.9842924036083908,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5324695920811499,0.0173518554970154,0.4133679599407969,0.0748113881299256,0.0424568629911242,0.0407940747343119,15,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,0.5707218024017477,0.0654423851568193,0.4559454443731329,0.0515010198492305,0.1138818062413721,0.1083270950268947,15,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,0.5777715235072076,0.0719843159527823,0.4623231490105939,0.0567811309787662,0.1259916071521461,0.114007956509631,15,9088.8,2377.0,0.9561438126351676,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5314528629286287,0.0186475423751121,0.4118281281517727,0.0875586667056488,0.0392391815291998,0.0369102232778374,15,6838.0,1778.8,0.9610410979777834,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,0.5666195816000582,0.0878401117742241,0.4683714477256331,0.0653636825588494,0.0915655442973282,0.1210923241244386,15,6838.0,1778.8,0.9610410979777834,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,0.5790386131024134,0.1004275349914503,0.4745915519047765,0.0677514429402633,0.1245770269585068,0.1434074994375663,15,6838.0,1778.8,0.9610410979777834,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5236184447649102,0.0562964116783004,0.5915119196264389,0.0804523760216671,-0.0036311491499535,0.0501790250110581,15,1610.8,411.6,0.9768905157708458,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,0.5942676406789821,0.047048144357045,0.6512487174467352,0.0776666644924934,0.1350574790891413,0.0748834247180039,15,1610.8,411.6,0.9768905157708458,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,0.587308039584997,0.0475299227261201,0.6478372703883994,0.0709024385923902,0.1141724700457371,0.0753031734878513,15,1610.8,411.6,0.9768905157708458,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5334872867562589,0.0200483056033335,0.3679138476852973,0.0840749014826027,-0.0106891567574283,0.0376643042858964,15,2712.6,706.2,0.9609327219799768,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,0.5587404798968324,0.061515893152832,0.4217010098191748,0.0709475842284765,0.1119569865419806,0.07086671584518,15,2712.6,706.2,0.9609327219799768,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,0.5668928675731345,0.0523391098404979,0.4189473440411772,0.0654357238795174,0.104217496477332,0.067505597578563,15,2712.6,706.2,0.9609327219799768,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5260257393809199,0.0129342399192662,0.4113839894188712,0.0822717224535117,0.0750483856909633,0.0329936233352901,15,7829.6,2041.4,0.9592647109626872,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,0.6011573989692154,0.0316359776269814,0.4803701600147146,0.0934867080020286,0.1508693223622608,0.0540685941405974,15,7829.6,2041.4,0.9592647109626872,0.0,0.0,0.0,0.0,,,,
Noise raw,chembl_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,0.5912639435647483,0.0251334717765298,0.471139186835637,0.0974700274611341,0.1399975083419053,0.0424587137516464,15,7829.6,2041.4,0.9592647109626872,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,all_pairs,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5130303138751297,0.0087080055546054,0.3339084509712709,0.0740163766399575,0.0273277964403516,0.0321119150703096,15,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_diff_scalars,0.5726673535113893,0.0369351910968326,0.3847185912477754,0.0516895671571091,0.0977772136560966,0.0440464412594603,15,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,all_pairs,family_scaffold_source_purged,rich_scalars_only,0.569329356707396,0.0320717701562598,0.3838981969642864,0.0510231179388636,0.0927697404118233,0.0399222305964417,15,16973.0,4496.8,0.9450254225791898,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_margin,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5156419729413069,0.0186958502483496,0.318794599067368,0.0786404161252889,0.0476885707353004,0.0410181487933683,15,12760.4,3404.4,0.9388787031804676,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_margin,family_scaffold_source_purged,rich_diff_scalars,0.566847798685514,0.019080822188344,0.3617890164209998,0.0719054226239363,0.0885821504180456,0.0323344736587115,15,12760.4,3404.4,0.9388787031804676,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_margin,family_scaffold_source_purged,rich_scalars_only,0.5730325916306733,0.0204986728850676,0.3680111854734873,0.0729974310833368,0.0976137751584487,0.0317264291677085,15,12760.4,3404.4,0.9388787031804676,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,multi_source,family_scaffold_source_purged,ecfp_absdiff_xgb,0.517541553881848,0.0238521835767669,0.3546843784163626,0.1721762118419411,0.0129938888539255,0.0247278874588211,15,4793.0,1223.0,0.9794233434914064,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,multi_source,family_scaffold_source_purged,rich_diff_scalars,0.5332672645486264,0.0499227247609998,0.3730124526524761,0.1499577013652741,0.0177483334480929,0.0596383872574963,15,4793.0,1223.0,0.9794233434914064,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,multi_source,family_scaffold_source_purged,rich_scalars_only,0.5358929831500348,0.0498311801498306,0.3698841884086281,0.1472965784296556,0.031577223436473,0.0622889972339142,15,4793.0,1223.0,0.9794233434914064,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_similarity,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5228897826059529,0.018170872578419,0.2850403658985489,0.0604393161720511,0.0260534622238439,0.0551066115301962,15,4393.8,1165.6,0.9441012206880984,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_diff_scalars,0.5236705460810891,0.0482090719799304,0.2957878213814012,0.0634147316832208,0.0260227050028192,0.076355363186159,15,4393.8,1165.6,0.9441012206880984,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,high_similarity,family_scaffold_source_purged,rich_scalars_only,0.5331983618228426,0.0452484032052945,0.2996485906319291,0.0636665316782939,0.0278816163164206,0.0710866002206534,15,4393.8,1165.6,0.9441012206880984,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,ecfp_absdiff_xgb,0.5068615554997183,0.0157372537991226,0.3578942667212729,0.0634348318118651,0.0230980451578005,0.0277663233519888,15,10896.0,2875.6,0.9489209230416824,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_diff_scalars,0.5593485688102037,0.0340685645173356,0.4168375625807432,0.0637327812338821,0.0834494221312656,0.0489194626706721,15,10896.0,2875.6,0.9489209230416824,0.0,0.0,0.0,0.0,,,,
Noise raw,bindingdb_raw,equal_relation_rebuilt,family_scaffold_source_purged,rich_scalars_only,0.5597674557106426,0.0269089040780972,0.4163803284692687,0.0650332238621158,0.0782804289168573,0.0418447317764248,15,10896.0,2875.6,0.9489209230416824,0.0,0.0,0.0,0.0,,,,
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_exact_ligand_purged,ecfp_absdiff_xgb,0.5532296728670385,0.0041666975623996,0.4267018580547453,0.0034251953447335,0.0607835054007928,0.0129650744401063,3,19845.0,11885.0,0.8826276463262764,1.0,0.0,0.4925536390408077,0.0,1.4500087012474676,1.4662016918197749,0.5070034026742308,0.6266666666666666
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_exact_ligand_purged,extratrees_scalars,0.6427651097735865,0.0007403255215687,0.5228637962342548,0.0046587573131961,0.1910461742571409,0.0062606206753456,3,19845.0,11885.0,0.8826276463262764,1.0,0.0,0.4925536390408077,0.0,2.1786932770012712,1.7282337210807384,0.6357131556467618,0.8533333333333334
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_exact_ligand_purged,rich_diff_scalars,0.6290162654623138,0.0021607443824822,0.5069837592637872,0.0064068500776153,0.1758351456720615,0.0017068235080972,3,19845.0,11885.0,0.8826276463262764,1.0,0.0,0.4925536390408077,0.0,1.744426711653045,1.6369641378550093,0.604770829103685,0.6733333333333333
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_exact_ligand_purged,rich_scalars_only,0.6299312714198706,0.0055183526654547,0.5083722519047553,0.0043761607475403,0.182261257281748,0.0143440800934771,3,19845.0,11885.0,0.8826276463262764,1.0,0.0,0.4925536390408077,0.0,1.781228962953742,1.6737663891557064,0.6095976580745507,0.7333333333333334
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_matched_targets,ecfp_absdiff_xgb,0.5840043630621751,0.0083657632767424,0.4473931334673773,0.0027933294029448,0.1156513823798056,0.0261804002029186,3,22484.0,11885.0,1.0,1.0,0.351283129995793,0.745561632309634,0.0,1.729705811132766,1.5162527535887225,0.5400131086201231,0.7133333333333333
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_matched_targets,extratrees_scalars,0.7232340798953878,0.0042152326996456,0.6168145084246559,0.0053975282138984,0.3091646797666534,0.0052224082985037,3,22484.0,11885.0,1.0,1.0,0.351283129995793,0.745561632309634,0.0,2.355344083244617,2.121281764972184,0.7596754962148647,0.9066666666666666
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_matched_targets,rich_diff_scalars,0.661050603564876,0.0019351922096055,0.5317647626688827,0.0025417561276016,0.215983676624973,0.0032014528647462,3,22484.0,11885.0,1.0,1.0,0.351283129995793,0.745561632309634,0.0,1.781228962953742,1.7179290907165432,0.6333934282373138,0.6733333333333333
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_matched_targets,rich_scalars_only,0.6576186993103897,0.0012256966580727,0.5278567977446508,0.0027649901071663,0.2049675965924172,0.0042312605077339,3,22484.0,11885.0,1.0,1.0,0.351283129995793,0.745561632309634,0.0,1.7959498634740212,1.7282337210807384,0.6299375857744409,0.5733333333333334
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_pair_scaffold_purged,ecfp_absdiff_xgb,0.5582842713074125,0.003487525552068,0.4273248326997099,0.0039621227834282,0.0662947424095996,0.0077421050461555,3,19307.0,11885.0,0.8586995196584238,1.0,0.1119899032393773,0.4029448885149349,0.0,1.42056690020691,1.4514807912994956,0.5068846351359234,0.4266666666666667
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_pair_scaffold_purged,extratrees_scalars,0.6445019037893976,0.0074218277699955,0.5124196406177225,0.0064753289054286,0.191447808809686,0.0083826556138448,3,19307.0,11885.0,0.8586995196584238,1.0,0.1119899032393773,0.4029448885149349,0.0,2.046205172318761,1.6237153273867584,0.6033036102895085,0.7066666666666667
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_pair_scaffold_purged,rich_diff_scalars,0.6405387716287398,0.0019512537867571,0.5080199424273972,0.0018528086148086,0.1956347762850858,0.0088403071531776,3,19307.0,11885.0,0.8586995196584238,1.0,0.1119899032393773,0.4029448885149349,0.0,1.773868512693603,1.5721921755657824,0.5913249645255529,0.6133333333333333
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_pair_scaffold_purged,rich_scalars_only,0.6392619356700795,0.0014973688755004,0.5098057497010658,0.0023095817081956,0.1872251620377382,0.0030282316040275,3,19307.0,11885.0,0.8586995196584238,1.0,0.1119899032393773,0.4029448885149349,0.0,1.7149849106124873,1.638436227907037,0.6011516337772903,0.6266666666666666
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_scaffold_purged,ecfp_absdiff_xgb,0.5408883017122242,0.0060326053693309,0.4174021787493063,0.0035382600687856,0.0476586207614318,0.0030931905180253,3,18079.0,11885.0,0.8040829033979718,1.0,0.0,0.0,0.0,1.324881046825097,1.382292558854185,0.4864893420724832,0.4066666666666667
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_scaffold_purged,extratrees_scalars,0.6164834582575313,0.0017200605687623,0.4928033819509245,0.0018218093972416,0.1619019822300298,0.0083742708016705,3,18079.0,11885.0,0.8040829033979718,1.0,0.0,0.0,0.0,1.9578797691970884,1.603106066658368,0.5851021134753189,0.7466666666666667
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_scaffold_purged,rich_diff_scalars,0.623327656171064,0.0029887346018484,0.4983744660553991,0.0047133830201518,0.1745110658823069,0.005642357769042,3,18079.0,11885.0,0.8040829033979718,1.0,0.0,0.0,0.0,1.729705811132766,1.591329346242145,0.5843038117761049,0.7266666666666667
Remaining P0-P1,Remaining P0-P1,default,bindingdb_to_chembl_scaffold_purged,rich_scalars_only,0.6198146167067579,0.0012013760549312,0.4948344163855295,0.0036658189131777,0.1663180396733143,0.0030015688343647,3,18079.0,11885.0,0.8040829033979718,1.0,0.0,0.0,0.0,1.641380408011093,1.603106066658368,0.5837829604795115,0.62
Remaining P0-P1,Remaining P0-P1,default,chembl_to_bindingdb_exact_ligand_purged,ecfp_absdiff_xgb,0.5416764726215898,0.0079234554300315,0.3454014130184375,0.0041624845480049,0.0429840784340201,0.0083825537019584,3,7710.0,22484.0,0.648716870004207,1.0,0.0,0.1443693293008361,0.0,1.7289554628576242,1.35663793030801,0.4075078782758839,0.7333333333333334
